rank,solver_account_id,solver_username,total_improvement,improvement_share_percent,frontier_steps,days_contributed
1,3fe96774-9dad-4ac1-903d-873eaba72049,i34-9,8.40037157765033,35.23%,28,8
2,c98f0e02-d75e-47f4-99e3-5d657c0b60d2,Meganpark980320,2.7488634624244,11.53%,2,1
3,d9bb60bf-6d08-4b1a-93f0-b5ea1f9b4caf,jungjipdo,1.34908570876987,5.66%,14,7
4,1fb3f86a-64a3-4824-9572-67cc5792d5f9,exakoss,1.1406879061633,4.78%,10,5
5,90f83911-a856-4c07-b48b-1b3d140b6cfd,zuiris,0.9943442313299,4.17%,3,2
6,96922ed0-a003-495b-a203-46cfbba09eb1,bot66,0.8245742877102,3.46%,6,2
7,28672c4f-4581-457e-8a42-47cedca958ec,iamgoatedaf,0.75784845515621,3.18%,4,4
8,788344d9-7313-487a-8058-505f0505dd28,AlexLaevski,0.6984226872687,2.93%,5,2
9,143728cd-f56f-4e4e-8fae-d06a59202420,pepedesigner,0.628089401463,2.63%,3,2
10,f1f62f17-7edb-4068-b65c-1f3097a0a275,rawqubit,0.516896922849,2.17%,5,3
11,a1e763f9-6c6c-4b48-a236-9da78612233e,mega-dmitriy,0.5042126853069,2.11%,8,2
12,a986e966-3596-48dc-bbf5-92ea036efa3a,metaspartan,0.4913063038513,2.06%,4,2
13,cf9de04e-ec55-454f-9f51-2cf2d25f9485,FatihSolak,0.4325869228815,1.81%,2,1
14,724fae80-ef53-4caa-a5fa-7a82f04cc277,fkiene,0.4303412376396,1.81%,1,1
15,02a87ff5-f7ff-4e7c-bd9e-9e1056bd18c2,ryanp7272,0.38229603475651,1.60%,2,2
16,cacd478a-9b7e-4f87-a29a-73574aa360aa,beibei030,0.3002453335718,1.26%,3,1
17,2f853bfa-744a-4ae4-8e68-814cce8c172d,JH-321,0.29563637599981,1.24%,3,1
18,3f81022f-7466-4918-9768-48c59a7d1c9a,newjordan,0.2710357873858,1.14%,2,2
19,05b343c4-4dc9-40bd-85e1-d8ba82e021b3,andrewgbell,0.2175425456868,0.91%,1,1
20,aa66aa75-26d2-499e-800e-a012e265f4d4,RealAdii,0.2090873694581,0.88%,5,3
21,722d622a-8523-4b18-bae0-4236cb53432c,tony-crypt0,0.1791602881909,0.75%,1,1
22,03be35c6-2527-42e1-8648-8e8a3c177ca1,beaulowo,0.1688556365806,0.71%,2,2
23,84fd7ce8-5a47-4fd8-a9e1-c1c17abc76ba,Ham3798,0.16619827512519,0.70%,2,1
24,4b269112-1bb3-4d9f-8d09-b83f2032ed3c,humanoidrobot-glitch,0.1601053465233,0.67%,3,1
25,c16e291b-27fe-4627-b4cc-79096ea904f1,Amal-David,0.1465965307793,0.61%,1,1
26,8b3f4dcf-92ea-471b-b48b-0d1a1523a3af,tomhschmidt,0.14270534759997,0.60%,2,2
27,7c307560-3c78-446f-811b-c30ad157ab81,ercumentyildirim,0.1401161856359,0.59%,1,1
28,786cbc2b-6daa-4549-a9f9-5edf7905f11b,XieLeiaaa,0.1394044488901,0.58%,1,1
29,df7c2480-050e-44ad-860a-b38728ed0513,RajeshRk18,0.1142519397965,0.48%,2,1
30,2740a615-5646-40f3-8f8a-5b2fbe849638,welttowelt,0.1117357019202,0.47%,1,1
31,0a543877-f3dc-48f6-840b-0feb63560ec6,jacklightChen,0.1076834259044,0.45%,1,1
32,2a52fda2-347d-4229-ac52-4e9e4ecdd14d,hadakang,0.0974143790341,0.41%,1,1
33,05a390cd-5f22-4f89-87e1-5ffe1f98a6b1,hybridnoise,0.0762028621691,0.32%,1,1
34,3bdd67ad-266b-4c87-909b-1e105983f4f3,Frodan,0.0751245561887,0.32%,1,1
35,79b105f7-28f0-47cb-b42f-0308816a126d,nathanethx,0.070235978708,0.29%,3,3
36,a3fdb1c1-800d-4263-ae03-4b8f05515f01,1ByteOfCookie,0.0695970622306,0.29%,2,2
37,670c436c-5671-4894-8d48-32f680aa5e0a,Akashneelesh,0.0623325572078,0.26%,1,1
38,415fa9a3-5980-41d7-a25b-6d386cb7703f,yagggi,0.05244340842397,0.22%,3,2
39,9a3e4900-6e64-498e-98b9-237f320147c0,bosinupebi,0.049742587387,0.21%,1,1
40,77878d5b-35be-4709-9863-3c08a6f858d6,scarletbright,0.0420196176878,0.18%,1,1
41,e3d1e71c-3eeb-4bed-a2fa-abe3ad3f9c9e,noskillcoding,0.0394534307775,0.17%,1,1
42,d72d3e59-484d-44e1-aed0-01195b3806b7,Nanansim,0.0262767039154,0.11%,1,1
43,a06da771-aaf7-492d-a568-1c2ac883100b,the1xinoe,0.0101725119167,0.04%,1,1
